ds,predicted_total_posts,predicted_total_posts_lower,predicted_total_posts_upper,actual_total_posts,predicted_vague_ratio,predicted_vague_ratio_lower,predicted_vague_ratio_upper,actual_vague_ratio,total_posts_difference,vague_ratio_difference,period
2020-11-16,127.13251268172557,113.63326220096182,141.75332839320654,90,0.13593690705858807,0.0981653998525513,0.1734322444161524,0.24444444444444444,-37.13251268172557,0.10850753738585636,After NSL
2020-11-17,130.69830356666222,116.73527907085078,143.24758008857572,103,0.13727765840137598,0.0981805444024988,0.17403037765496632,0.1941747572815534,-27.69830356666222,0.05689709888017741,After NSL
2020-11-18,126.82570555370832,112.83332350733357,140.342584862146,107,0.13981649934223334,0.10204622217329436,0.1760687766114507,0.21495327102803738,-19.825705553708318,0.07513677168580404,After NSL
2020-11-19,128.45440764886436,114.7336334513228,143.05872097639886,114,0.15339036352906832,0.1125895961018689,0.19225463489286293,0.17543859649122806,-14.454407648864361,0.02204823296215974,After NSL
2020-11-20,128.71778401256034,114.70025387320223,142.67735706359906,101,0.1341161223637985,0.09435600481552123,0.17232850363466531,0.1485148514851485,-27.717784012560344,0.014398729121350012,After NSL
2020-11-21,128.38950693078877,115.20155607220877,142.9661262995774,94,0.13297094946070928,0.09769032847455807,0.17238301403106124,0.18085106382978725,-34.38950693078877,0.047880114369077964,After NSL
2020-11-22,121.7183847678674,107.99628497969991,135.26545086768417,90,0.14268508692578852,0.10484052582403246,0.17613215687872716,0.2,-31.718384767867406,0.05731491307421149,After NSL
2020-11-23,118.58592509187942,104.00437616845444,132.38753242727256,88,0.1469372459990748,0.10815134642988174,0.1873991723033483,0.1590909090909091,-30.585925091879417,0.0121536630918343,After NSL
2020-11-24,123.5467964507333,108.9619824737022,137.44427467663675,93,0.15008129360653227,0.11294668700896278,0.188124418488692,0.22580645161290322,-30.546796450733297,0.07572515800637095,After NSL
2020-11-25,121.26921566033745,107.41050067066129,135.30971998153723,79,0.15410787324212963,0.11543173122871175,0.19517893343318135,0.22784810126582278,-42.26921566033745,0.07374022802369315,After NSL
2020-11-26,124.65831674164714,110.94476770121823,137.56909009750208,92,0.16880620713846514,0.13167428150167287,0.20655460845670523,0.20652173913043478,-32.65831674164714,0.03771553199196964,After NSL
2020-11-27,126.80879579519062,112.06856119182244,140.0309646842169,96,0.1502540167951666,0.11464978113846028,0.18958467453136868,0.1875,-30.80879579519062,0.03724598320483341,After NSL
2020-11-28,128.45244487986145,115.2277000275306,142.11729061948392,102,0.14939902538871896,0.11008286133641701,0.1859066229278799,0.23529411764705882,-26.452444879861446,0.08589509225833986,After NSL
2020-11-29,123.79398492647098,109.67919984566642,138.27599086183574,95,0.15895262048587772,0.11982848077712463,0.19411475012732488,0.3368421052631579,-28.793984926470984,0.17788948477728017,After NSL
2020-11-30,122.66967275915366,109.09348659044329,137.10012091399193,90,0.16258588414044653,0.12328704242313204,0.20081466792126937,0.2,-32.669672759153656,0.03741411585955348,After NSL
2020-12-01,129.58882957526174,115.74791005688192,143.97170940047337,88,0.16465662338273077,0.1283262793224375,0.2047926424664132,0.2727272727272727,-41.58882957526174,0.10807064934454194,After NSL
2020-12-02,129.17529128585633,114.80533125881121,142.48519196422464,101,0.16717103843679937,0.1281934765516253,0.20754851373677669,0.16831683168316833,-28.175291285856332,0.001145793246368959,After NSL
2020-12-03,134.29181074622784,120.11422944912242,147.72666064028218,99,0.17994527231762972,0.14333681152545577,0.21921250175047174,0.20202020202020202,-35.29181074622784,0.0220749297025723,After NSL
2020-12-04,137.99368106983349,125.26259122611836,151.78380462663827,87,0.1590947834659922,0.12034217752783896,0.19684769767865307,0.21839080459770116,-50.993681069833485,0.059296021131708954,After NSL
2020-12-05,140.97716964244427,127.47546124011792,154.988246558097,115,0.15561501733901156,0.11794333519177921,0.19196824492639103,0.19130434782608696,-25.977169642444267,0.0356893304870754,After NSL
2020-12-06,137.4161516394075,123.4303028222808,151.4596717275034,107,0.162273975274788,0.1248108364420723,0.1989988376995823,0.2336448598130841,-30.416151639407502,0.0713708845382961,After NSL
